type,sku,name,regular_price,categories,images,description,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,status,parent,length,width,height,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global
variation,RKS211,Baseball/Softball Sun Ray Resin,20.5,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/RKS211--4503e9c0.png,"Original dimensions (in): 9""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_16,22.86,22.86,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,SR101,Baseball/Softball Sun Ray Resin,14.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/SR101--85c9ef65.png,"Original dimensions (in): 7""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_16,17.78,17.78,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variation,SR201,Baseball/Softball Sun Ray Resin,17.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/SR201--4ec5a13f.png,"Original dimensions (in): 8""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_16,20.32,20.32,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,,1,1
variable,PARENT_17,Softball Ribbon Resin,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/RR505--b2125fb8.png,,Size,"Medium,Large",1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,"Ribbon,Ribbon",1,1
variation,RR505,Softball Ribbon Resin,16.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/RR505--b2125fb8.png,"Original dimensions (in): 5 1/2""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_17,13.97,13.97,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,Ribbon,1,1
variation,RR705,Softball Ribbon Resin,18.25,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/RR705--206b7cad.png,"Original dimensions (in): 7""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_17,17.78,17.78,0,Color,,1,1,Shape,,1,1,Material,Resin,1,1,Features,Ribbon,1,1
variable,PARENT_18,Baseball/Softball Shield Award,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/SA601--9a1e6d85.png,,Size,"Medium,Large",1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,SA601,Baseball/Softball Shield Award,15.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/SA601--9a1e6d85.png,"Original dimensions (in): 6""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_18,15.24,15.24,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,SA701,Baseball/Softball Shield Award,17.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/SA701--74de0e5f.png,"Original dimensions (in): 7""",Size,Large,1,1,Sport,Baseball/Softball,1,1,1,PARENT_18,17.78,17.78,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variable,PARENT_19,Baseball Triad Award,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/TRD101--65b34b8b.png,,Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,TRD101,Baseball Triad Award,14.0,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/TRD101--65b34b8b.png,"Original dimensions (in): 5 1/2""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_19,13.97,13.97,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variable,PARENT_20,Baseball/Softball Triumph Award,,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/TR101--6e0bd715.png,,Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,,,,,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,TR101,Baseball/Softball Triumph Award,15.25,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/TR101--6e0bd715.png,"Original dimensions (in): 5 1/2""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_20,13.97,13.97,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
variation,TR151,Baseball/Softball Triumph Award,17.25,RESINS > Baseball/Softball,https://res.cloudinary.com/business-products/image/upload/products/images/large/TR151--e38a0845.png,"Original dimensions (in): 6 1/2""",Size,Medium,1,1,Sport,Baseball/Softball,1,1,1,PARENT_20,16.51,16.51,0,Color,,1,1,Shape,,1,1,Material,,1,1,Features,,1,1
